place,date,number,yellowdust(O/X),avgdust,avgwindsp(m/s),maxwinsp(m/s),maxwinspdir(deg),maxdir(deg),minview(10m),atmosdiff:+03h,:+06h,:+09h,:+12h,:+15h,:+18h,:+21h,:+24h
Ulsan,2019-10-31,152,X,21,1.9,3.3,320,320,1863,normal,high,high,normal,normal,normal,normal,normal
Changwon,2019-10-31,155,X,,1.1,4.4,20,20,1846,normal,normal,normal,normal,normal,normal,normal,normal
Kwangju,2019-10-31,156,X,-,0.6,2.4,250,200,887,normal,normal,high,normal,normal,normal,normal,normal
Busan,2019-10-31,159,X,,3.3,5.2,290,270,1928,high,high,high,normal,high,high,high,normal
Mokpo,2019-10-31,165,X,,2.2,4.9,340,180,613,high,high,high,high,high,high,high,high
Yeosu,2019-10-31,168,X,,3.3,7.2,290,270,1631,normal,high,high,high,high,high,high,high
Heuksando,2019-10-31,169,O,91,2,3.6,250,250,1120,high,normal,normal,normal,normal,normal,normal,normal
Hongseong,2019-10-31,177,X,,1.6,4.7,230,180,519,normal,high,high,high,normal,low,low,normal
Jeju,2019-10-31,184,X,,2.4,3.8,320,160,1403,normal,high,normal,normal,normal,normal,normal,high
Seoguipo,2019-10-31,189,X,,1.3,2.3,180,360,2000,normal,normal,normal,normal,normal,normal,high,normal
BukChucheon,2019-11-01,93,O,94,0.6,1.9,160,160,10,normal,normal,normal,normal,normal,normal,normal,normal
BackRyeongdo,2019-11-01,102,O,38,5.5,8.7,340,360,205,high,high,high,high,high,high,high,high
Bukkangreung,2019-11-01,104,O,,1.6,4.3,360,180,1005,high,high,high,normal,normal,normal,high,high
Seoul,2019-11-01,108,O,-,1.8,3.9,320,290,179,normal,normal,normal,normal,normal,normal,normal,normal
Incheon,2019-11-01,112,O,,2.5,5.1,340,340,239,high,high,high,normal,high,normal,normal,normal
Ulreungdo,2019-11-01,115,O,63,3.9,10.7,270,20,1010,high,high,high,high,high,high,high,high
Suwon,2019-11-01,119,O,60,1.3,3.2,290,290,14,high,high,high,normal,normal,normal,normal,normal
Chungju,2019-11-01,131,X,,0.7,2.1,270,290,90,normal,high,high,normal,normal,normal,normal,normal
Daejeon,2019-11-01,133,X,,0.7,2.3,250,270,189,high,high,high,normal,normal,normal,normal,normal
Ahndong,2019-11-01,136,O,89,0.6,2.5,140,110,420,normal,normal,normal,normal,normal,normal,normal,normal
Pohang,2019-11-01,138,X,,2.1,4.5,50,250,816,high,high,high,normal,normal,high,high,normal
Daegu,2019-11-01,143,O,93,1.5,3.8,110,270,505,high,normal,normal,normal,normal,normal,normal,normal
Jeonju,2019-11-01,146,O,75,1.4,3.1,270,140,732,normal,high,high,normal,low,normal,normal,normal
Ulsan,2019-11-01,152,O,52,1.8,4.2,90,340,916,high,high,high,normal,normal,normal,normal,normal
Changwon,2019-11-01,155,O,,1.3,5.4,50,50,708,low,high,normal,low,normal,normal,normal,high
Kwangju,2019-11-01,156,O,103,0.7,2.6,50,50,675,normal,normal,high,low,normal,normal,normal,normal
Busan,2019-11-01,159,O,,2.4,4.3,340,50,1040,normal,high,normal,normal,normal,normal,normal,normal
Mokpo,2019-11-01,165,O,,2.4,6.5,360,180,116,normal,high,high,high,high,high,normal,normal
Yeosu,2019-11-01,168,O,,2.3,7.3,290,50,627,high,high,normal,normal,normal,normal,high,high
Heuksando,2019-11-01,169,O,151,4.3,7.8,360,360,800,normal,high,normal,high,high,high,high,high
Hongseong,2019-11-01,177,O,,1,3.3,20,360,5,normal,high,high,low,normal,normal,normal,normal
Jeju,2019-11-01,184,O,,2.3,3.6,200,180,699,low,high,high,normal,high,normal,normal,normal
Seoguipo,2019-11-01,189,O,,1.5,2.8,230,360,1149,normal,normal,normal,normal,normal,normal,high,normal
BukChucheon,2019-11-18,93,O,81,2.9,6.3,250,250,300,veryhigh,high,high,high,high,veryhigh,veryhigh,veryhigh
BackRyeongdo,2019-11-18,102,O,104,9.9,17.1,340,320,723,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
Bukkangreung,2019-11-18,104,X,,1.9,5.1,270,270,424,high,high,high,high,high,veryhigh,veryhigh,high
Seoul,2019-11-18,108,O,63,3.9,7,270,270,211,high,veryhigh,veryhigh,veryhigh,high,high,high,high
Incheon,2019-11-18,112,O,,5.5,11,340,340,603,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high,high
Ulreungdo,2019-11-18,115,X,38,4.7,10,200,200,51,veryhigh,veryhigh,veryhigh,high,high,veryhigh,veryhigh,veryhigh
Suwon,2019-11-18,119,O,37,4,7.5,290,290,244,high,veryhigh,veryhigh,high,high,veryhigh,veryhigh,high
Chungju,2019-11-18,131,O,,2.1,4,290,290,110,high,veryhigh,high,high,high,high,high,high
Daejeon,2019-11-18,133,O,,2.2,4.9,270,250,29,high,veryhigh,high,high,high,high,high,high
Ahndong,2019-11-18,136,O,58,3.5,6.3,290,290,60,high,high,high,high,high,veryhigh,veryhigh,veryhigh
Pohang,2019-11-18,138,X,,4.4,10,250,250,590,high,high,high,high,high,high,high,high
Daegu,2019-11-18,143,O,56,4.8,8.2,290,290,1182,veryhigh,high,high,high,veryhigh,veryhigh,veryhigh,veryhigh
Jeonju,2019-11-18,146,O,45,2.8,5.5,270,270,185,high,high,veryhigh,high,high,high,high,high
Ulsan,2019-11-18,152,X,28,3,4.9,320,320,264,high,high,high,high,high,veryhigh,veryhigh,veryhigh
Changwon,2019-11-18,155,X,,2.6,6.3,160,270,165,high,high,high,high,high,high,veryhigh,veryhigh
Kwangju,2019-11-18,156,O,68,2,5.7,200,20,773,high,high,high,high,high,high,high,high
Busan,2019-11-18,159,X,,4.9,15.8,250,290,409,high,high,high,high,high,high,veryhigh,veryhigh
Mokpo,2019-11-18,165,O,,7.6,10.8,360,340,309,high,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
Yeosu,2019-11-18,168,O,,7.7,13.8,200,290,211,high,high,high,veryhigh,veryhigh,high,veryhigh,veryhigh
Heuksando,2019-11-18,169,O,70,10.9,17.5,360,340,1100,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
Hongseong,2019-11-18,177,O,,2.7,6.5,270,270,1100,veryhigh,high,veryhigh,high,high,high,high,high
Jeju,2019-11-18,184,O,,5.5,9.5,320,320,450,high,high,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
Seoguipo,2019-11-18,189,O,,2.3,7.9,230,290,641,high,high,high,high,high,high,veryhigh,veryhigh
BukChucheon,2020-02-22,93,O,51,2.7,8.6,250,250,300,veryhigh,high,high,veryhigh,high,high,high,high
BackRyeongdo,2020-02-22,102,O,78,7.3,11,320,320,269,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high
Bukkangreung,2020-02-22,104,X,,4.2,8.9,250,270,1166,high,veryhigh,veryhigh,high,high,high,high,high
Seoul,2020-02-22,108,O,75,4,8.2,320,270,222,high,veryhigh,veryhigh,veryhigh,high,high,high,high
Incheon,2020-02-22,112,O,,5.6,9.9,290,320,165,high,high,high,high,high,veryhigh,high,high
Ulreungdo,2020-02-22,115,X,38,4.8,8.9,230,230,4,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
Suwon,2020-02-22,119,O,61,4.7,8.4,290,270,427,high,veryhigh,veryhigh,high,high,high,high,high
Chungju,2020-02-22,131,O,,2.7,5.9,290,290,212,high,veryhigh,veryhigh,high,high,high,high,high
Daejeon,2020-02-22,133,O,,2.7,5.9,250,230,140,high,veryhigh,veryhigh,high,high,high,high,high
Ahndong,2020-02-22,136,O,77,4.4,9.2,290,290,700,veryhigh,high,high,veryhigh,high,high,high,high
Pohang,2020-02-22,138,X,,4.3,7.9,250,250,1576,high,veryhigh,veryhigh,veryhigh,high,high,high,high
Daegu,2020-02-22,143,O,61,4.7,9.2,270,290,1055,veryhigh,high,veryhigh,veryhigh,high,high,high,high
Jeonju,2020-02-22,146,O,56,3.5,6.3,270,270,291,high,veryhigh,veryhigh,high,high,high,high,high
Ulsan,2020-02-22,152,X,31,2.5,5.3,250,250,228,high,veryhigh,veryhigh,high,high,high,high,high
Changwon,2020-02-22,155,O,,2.5,5.2,320,290,368,high,veryhigh,veryhigh,high,high,high,high,high
Kwangju,2020-02-22,156,O,69,2,4.4,270,290,122,high,veryhigh,veryhigh,high,high,high,high,high
Busan,2020-02-22,159,O,,5.9,14.2,290,270,294,high,veryhigh,veryhigh,veryhigh,high,high,high,high
Mokpo,2020-02-22,165,O,,5.3,8.4,320,340,524,high,high,high,high,veryhigh,veryhigh,veryhigh,veryhigh
Yeosu,2020-02-22,168,O,,6.8,13.4,270,290,163,high,high,high,veryhigh,high,high,high,high
Heuksando,2020-02-22,169,O,76,6.1,10.6,360,320,481,high,high,high,high,veryhigh,veryhigh,veryhigh,high
Hongseong,2020-02-22,177,O,,3.2,7,270,270,409,high,high,veryhigh,high,high,high,high,high
Jeju,2020-02-22,184,O,,5.1,7.8,270,320,586,high,high,high,high,high,high,high,high
Seoguipo,2020-02-22,189,O,,2.3,4.2,270,270,506,high,veryhigh,veryhigh,high,high,high,high,high
BukChucheon,2020-04-04,93,X,56,2.3,6.5,340,320,600,normal,high,high,high,high,high,normal,normal
BackRyeongdo,2020-04-04,102,O,62,9.4,13.7,340,340,652,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high,high
Bukkangreung,2020-04-04,104,X,,2.8,8.4,250,200,993,high,high,high,high,veryhigh,high,normal,high
Seoul,2020-04-04,108,X,69,3.4,6.3,290,290,241,high,veryhigh,veryhigh,veryhigh,high,high,high,high
Incheon,2020-04-04,112,O,,5.8,9.9,340,360,231,high,veryhigh,veryhigh,veryhigh,high,high,high,high
Ulreungdo,2020-04-04,115,X,23,6.1,12.6,50,70,1022,high,high,high,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
Suwon,2020-04-04,119,X,53,3.5,7.7,270,320,462,high,veryhigh,veryhigh,high,high,high,high,high
Chungju,2020-04-04,131,O,,2.2,5.5,290,270,583,high,high,veryhigh,high,high,high,high,high
Daejeon,2020-04-04,133,O,,2.9,6.7,270,140,670,high,veryhigh,veryhigh,high,high,high,high,high
Ahndong,2020-04-04,136,X,54,2.5,5.8,290,290,861,high,high,high,high,high,high,high,high
Pohang,2020-04-04,138,X,,4.2,7.6,50,50,1457,high,veryhigh,high,high,high,high,high,high
Daegu,2020-04-04,143,X,41,2.9,8.2,110,110,1318,high,veryhigh,high,high,high,high,high,high
Jeonju,2020-04-04,146,X,45,2.5,5.8,270,270,1000,high,veryhigh,veryhigh,high,high,high,high,high
Ulsan,2020-04-04,152,X,27,2.7,6.4,70,360,1800,high,high,high,high,normal,normal,normal,high
Changwon,2020-04-04,155,X,,1.8,6.1,180,180,1583,high,high,veryhigh,high,high,high,high,high
Kwangju,2020-04-04,156,O,51,1.8,4.1,20,250,1020,high,high,high,high,high,high,high,high
Busan,2020-04-04,159,X,,4,9.1,230,50,1367,high,high,high,high,high,high,high,high
Mokpo,2020-04-04,165,X,,5.7,12,340,360,703,high,high,high,high,veryhigh,veryhigh,high,high
Yeosu,2020-04-04,168,X,,7.1,12.4,320,320,1071,high,high,high,high,high,high,high,high
Heuksando,2020-04-04,169,O,41,9,15.9,360,360,797,high,high,high,high,high,veryhigh,veryhigh,high
Hongseong,2020-04-04,177,O,,3.4,5.7,320,320,363,high,veryhigh,veryhigh,high,high,high,high,high
Jeju,2020-04-04,184,X,,3.6,7,270,270,909,high,high,high,high,high,high,veryhigh,high
Seoguipo,2020-04-04,189,X,,1.5,2.9,290,360,1236,high,high,high,high,high,high,high,high
BukChucheon,2020-04-22,93,O,85,4,7.1,230,250,1400,veryhigh,veryhigh,high,veryhigh,veryhigh,veryhigh,high,high
BackRyeongdo,2020-04-22,102,O,112,7.5,10.3,320,320,1578,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high,high,high
Bukkangreung,2020-04-22,104,O,,3.8,7.9,270,270,900,high,veryhigh,veryhigh,veryhigh,high,high,high,high
Seoul,2020-04-22,108,O,64,4,6.4,290,290,1013,veryhigh,veryhigh,veryhigh,veryhigh,high,high,high,high
Incheon,2020-04-22,112,O,,6.3,9.2,340,320,1064,veryhigh,veryhigh,veryhigh,veryhigh,high,high,high,high
Ulreungdo,2020-04-22,115,X,56,3.6,7.6,250,250,1938,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high,high
Suwon,2020-04-22,119,O,-,5.1,8,290,270,1592,veryhigh,veryhigh,veryhigh,high,high,high,high,high
Chungju,2020-04-22,131,O,,3,5.6,290,290,1738,veryhigh,veryhigh,veryhigh,high,high,high,high,high
Daejeon,2020-04-22,133,X,,3.3,6.1,250,250,2097,veryhigh,veryhigh,veryhigh,high,high,high,high,high
Ahndong,2020-04-22,136,O,61,4.6,8.5,290,290,1831,veryhigh,high,high,veryhigh,veryhigh,veryhigh,veryhigh,high
Pohang,2020-04-22,138,X,,4.3,7.5,250,270,1985,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high,high,high
Daegu,2020-04-22,143,X,52,5.3,9.1,290,290,1919,high,high,high,veryhigh,veryhigh,veryhigh,veryhigh,high
Jeonju,2020-04-22,146,X,39,3.9,6.9,270,290,2000,veryhigh,veryhigh,veryhigh,high,high,high,high,high
Ulsan,2020-04-22,152,X,16,3.2,5.2,290,320,2000,veryhigh,veryhigh,veryhigh,high,high,high,high,high
Changwon,2020-04-22,155,X,,2.2,5.9,290,290,2000,veryhigh,veryhigh,veryhigh,veryhigh,high,high,high,high
Kwangju,2020-04-22,156,X,55,2.4,5.5,270,270,1952,veryhigh,veryhigh,veryhigh,high,high,high,high,high
Busan,2020-04-22,159,X,,5.3,11.1,270,270,1471,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
Mokpo,2020-04-22,165,X,,7.1,9.9,340,340,1987,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
Yeosu,2020-04-22,168,X,,7.4,14.8,270,270,2000,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,high
Heuksando,2020-04-22,169,X,42,6.3,10.4,340,320,3157,veryhigh,high,high,veryhigh,high,veryhigh,veryhigh,veryhigh
Hongseong,2020-04-22,177,X,,3.7,6.9,270,270,2847,veryhigh,veryhigh,veryhigh,high,high,high,high,high
Jeju,2020-04-22,184,X,,5.7,9.3,320,290,2000,high,high,high,high,high,high,high,high
Seoguipo,2020-04-22,189,X,,2.6,5.2,270,270,2000,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh,veryhigh
BukChucheon,2020-05-11,93,O,79,3,7.2,250,230,500,high,veryhigh,high,veryhigh,high,high,high,high
BackRyeongdo,2020-05-11,102,O,83,4.3,9.3,270,290,1211,high,high,high,high,normal,high,high,high
Bukkangreung,2020-05-11,104,X,,4.1,8,270,250,1578,high,high,high,high,high,high,high,high
Seoul,2020-05-11,108,O,98,3,5.6,290,250,276,high,high,high,high,normal,high,high,high
Incheon,2020-05-11,112,O,,2.9,5,200,230,117,high,high,high,high,normal,normal,high,high
Ulreungdo,2020-05-11,115,X,50,5.6,9.7,270,230,2000,high,high,high,normal,high,normal,high,high
Suwon,2020-05-11,119,O,-,2.1,5.7,270,270,419,high,high,high,high,normal,high,high,high
Chungju,2020-05-11,131,X,,1.9,4.1,270,270,245,high,high,veryhigh,high,high,veryhigh,high,high
Daejeon,2020-05-11,133,X,,2.2,4.6,110,140,302,high,high,veryhigh,high,high,high,high,high
Ahndong,2020-05-11,136,X,53,2.4,5.9,290,290,404,high,high,veryhigh,veryhigh,high,high,high,high
Pohang,2020-05-11,138,X,,3.4,6.6,250,250,1626,high,high,veryhigh,high,high,high,high,high
Daegu,2020-05-11,143,X,35,2.5,6.2,290,290,656,high,veryhigh,veryhigh,high,high,high,high,high
Jeonju,2020-05-11,146,X,48,1.4,3.4,250,270,309,high,high,high,normal,high,high,veryhigh,high
Ulsan,2020-05-11,152,X,32,2.4,5.8,320,320,1662,high,high,high,high,high,high,high,high
Changwon,2020-05-11,155,X,,1.4,3.7,230,200,1515,high,high,high,high,normal,high,high,high
Kwangju,2020-05-11,156,X,49,1.4,3.9,230,230,248,high,high,high,high,high,high,high,high
Busan,2020-05-11,159,X,,3.8,7.1,290,200,853,high,high,high,high,normal,high,high,high
Mokpo,2020-05-11,165,X,,2.4,5,250,250,205,high,high,high,high,high,high,high,high
Yeosu,2020-05-11,168,X,,4.4,7.8,320,230,1017,normal,high,normal,normal,normal,high,high,high
Heuksando,2020-05-11,169,X,33,3,7.4,180,180,10,normal,normal,normal,normal,normal,high,high,high
Hongseong,2020-05-11,177,X,,2.2,5.6,250,230,232,high,high,high,normal,high,veryhigh,high,high
Jeju,2020-05-11,184,X,,2.7,4.7,270,270,323,high,high,high,high,high,high,high,high
Seoguipo,2020-05-11,189,X,,1.3,2.9,230,250,223,normal,normal,normal,high,high,high,high,high
BukChucheon,2020-06-04,93,X,55,2.5,5.9,200,200,800,high,high,high,high,high,high,high,normal
BackRyeongdo,2020-06-04,102,X,22,2.7,5.7,160,320,27,high,high,high,high,normal,normal,normal,normal
Bukkangreung,2020-06-04,104,X,,2.8,6,250,230,1604,high,high,high,high,high,high,high,high
Seoul,2020-06-04,108,X,71,2.7,4.7,270,250,175,high,high,high,high,high,normal,high,high
Incheon,2020-06-04,112,X,,2.5,4.1,290,250,9,high,high,high,high,high,high,high,high
Ulreungdo,2020-06-04,115,X,54,3.9,8.1,250,200,1508,high,high,-,-,high,normal,normal,normal
Suwon,2020-06-04,119,X,49,2.2,4.4,250,250,542,high,high,high,high,high,high,high,high
Chungju,2020-06-04,131,O,,2.1,4,270,250,604,high,high,high,high,high,high,high,high
Daejeon,2020-06-04,133,X,,2.2,5.1,180,180,660,high,high,high,high,high,high,high,high
Ahndong,2020-06-04,136,O,85,1.9,4.5,290,290,655,high,high,veryhigh,high,high,high,high,high
Pohang,2020-06-04,138,X,,2.8,4.8,250,200,1675,high,high,high,high,high,high,high,high
Daegu,2020-06-04,143,X,42,2.1,4.3,270,270,1017,high,normal,high,high,high,high,high,high
Jeonju,2020-06-04,146,X,36,1.6,3.9,290,230,724,normal,high,high,high,high,high,high,high
Ulsan,2020-06-04,152,X,37,1.5,3.7,270,140,1212,high,normal,high,high,normal,high,high,high
Changwon,2020-06-04,155,X,,1.5,4,110,110,444,high,normal,high,high,normal,high,high,high
Kwangju,2020-06-04,156,X,37,2.1,4,230,200,568,normal,normal,high,high,normal,high,high,high
Busan,2020-06-04,159,X,,4.3,6.9,230,180,473,high,high,high,high,normal,high,high,high
Mokpo,2020-06-04,165,X,,2.4,4.4,140,250,525,high,high,high,high,high,high,normal,normal
Yeosu,2020-06-04,168,X,,4.4,6.2,200,200,12,normal,normal,normal,normal,normal,normal,high,normal
Heuksando,2020-06-04,169,X,-,4.5,7.7,180,180,6,normal,normal,normal,normal,normal,normal,low,low
Hongseong,2020-06-04,177,X,,2.6,4.6,250,230,361,high,high,high,high,high,normal,high,high
Jeju,2020-06-04,184,X,,1.4,3.8,20,20,150,normal,normal,normal,normal,normal,normal,normal,normal
Seoguipo,2020-06-04,189,X,,0.9,2.2,200,230,1915,normal,normal,low,high,high,high,high,normal
